13576	eco-balance	
13577	nitrogen oxide	http://purl.obolibrary.org/obo/MESH_D01.362.635
13613	oven	
1366	chloride	http://purl.obolibrary.org/obo/MESH_D01.210.450.150
1368	chlorinated hydrocarbon	http://purl.obolibrary.org/obo/MESH_D02.455.526.439
1371	chlorination	http://purl.obolibrary.org/obo/MESH_D01.268.380.150
1373	chlorine	http://purl.obolibrary.org/obo/MESH_D01.268.380.150
13748	inner city	http://purl.obolibrary.org/obo/SCTID_224926006
1378	chloroethylene	http://purl.obolibrary.org/obo/CHEBI_23142
13781	sluice-gate	
1381	chlorofluorocarbon	http://purl.obolibrary.org/obo/MESH_D02.455.526.439.220
13839	noise effect	
1384	CFC and halons prohibition	
1385	partially halogenated chlorofluorohydrocarbon	
1389	chlorophenol	http://purl.obolibrary.org/obo/MESH_D02.455.426.559.389.261.190
1391	chlorophyll	http://purl.obolibrary.org/obo/MESH_D11.557.727.220
13921	deciduous wood	
13922	mixed woodland	
1393	chlorosis	
13976	coniferous tree	
1399	chromatographic analysis	
1400	chromatography	http://purl.obolibrary.org/obo/MESH_E05.196.181
1401	chromium	http://purl.obolibrary.org/obo/MESH_D01.268.556.175
14082	emergency lodging	
14098	sorting at source	
1410	church	http://purl.obolibrary.org/obo/SCTID_284453007
14146	coastal management	
14163	ministry building	
14165	aerial photography	
1419	citizen awareness	
14194	swamp	http://purl.obolibrary.org/obo/ENVO_00000233
14208	legislative process	
1421	city	http://purl.obolibrary.org/obo/ENVO_00000856
1422	city centre	
14236	returnable container	
14243	waste gas dispersion	
14245	intermediate product	
14254	mutagenic substance	
1426	municipal dumping	
143	aerobic condition	
1431	civil air traffic	
14330	teratogenic substance	http://purl.obolibrary.org/obo/SCTID_45986006
1434	civil engineering	http://purl.obolibrary.org/obo/SCTID_106262007
1436	civilian protection	
1437	civil law	
14418	municipal heating network	
1446	class action suits law	
1447	classification	http://purl.obolibrary.org/obo/SCTID_278201002
1449	clay	http://purl.obolibrary.org/obo/ENVO_00002982
14499	excise	http://purl.obolibrary.org/obo/SCTID_65801008
14543	coniferous wood	
1456	cleaning up	
1458	cleansing product	
14581	underground railway	
14588	government contracting	
146	aerobic process	
1460	clean technology	
14615	pleasure cruising	
14619	surface active compound	
1462	climate	http://purl.obolibrary.org/obo/MESH_G03.230.300.100.250
14636	pH-value	
1464	climatic effect	
14651	craft industry	
